No;Zeit;Intervall(mi);innen Luftfeuchtigkeit(%);innen Temperatur(°C);außen Luftfeuchtigkeit(%);außen Temperatur(°C);absolut Luftdruck(Hpa);Wind(m/s);Windbö"(m/s);Richtung;relative Luftdruck(Hpa);Taupunkt(°C);Windauskühlung(°C);Stunde Niederschlag(mm);24 Stunde Niederschlag(mm);Woche Niederschlag(mm);Monat Niederschlag(mm);Total Niederschlag(mm);Wind Level(bft);Windbö Level(bft)
121;08-01-2015 21:57;30;44;19.1;92;4.9;997.2;3.1;4.1;N;1031.3;3.7;0.9;0.0;9.9;10.5;10.5;10.5;2;3
122;08-01-2015 22:27;30;49;19.4;91;4.9;998.2;1.4;2.0;NW;1032.3;3.6;4.9;0.0;9.9;10.5;10.5;10.5;1;2
123;08-01-2015 22:57;30;47;19.5;90;5.0;998.8;2.7;3.7;NW;1032.9;3.5;1.8;0.0;9.9;10.5;10.5;10.5;2;3
124;08-01-2015 23:27;30;45;19.3;90;4.9;999.2;2.0;3.4;NW;1033.3;3.4;3.5;0.0;9.9;10.5;10.5;10.5;2;3
125;08-01-2015 23:57;30;45;19.1;91;4.9;999.5;1.0;1.7;NW;1033.6;3.6;4.9;0.0;9.9;10.5;10.5;10.5;1;2
126;09-01-2015 00:27;30;45;19.1;90;5.0;1000.0;1.4;2.4;W;1034.1;3.5;5.0;0.0;9.9;10.5;10.5;10.5;1;2
127;09-01-2015 00:57;30;44;19.0;94;4.6;1000.2;1.0;2.4;NW;1034.3;3.7;4.6;0.9;10.8;11.4;11.4;11.4;1;2
128;09-01-2015 01:27;30;45;19.1;95;4.4;1000.0;1.0;1.4;NW;1034.1;3.7;4.4;0.9;10.8;11.4;11.4;11.4;1;1
129;09-01-2015 01:57;30;45;19.3;95;4.4;999.8;1.4;2.7;SW;1033.9;3.7;4.4;0.3;11.1;11.7;11.7;11.7;1;2
130;09-01-2015 02:27;30;44;19.1;95;3.9;999.2;0.3;1.0;SW;1033.3;3.2;3.9;0.3;11.1;11.7;11.7;11.7;1;1
131;09-01-2015 02:57;30;44;19.0;94;3.7;999.3;1.0;2.4;SWW;1033.4;2.8;3.7;0.0;11.1;11.7;11.7;11.7;1;2
132;09-01-2015 03:27;30;44;19.0;94;3.4;999.9;1.0;1.4;NW;1034.0;2.5;3.4;0.0;11.1;11.7;11.7;11.7;1;1
133;09-01-2015 03:57;30;44;19.0;95;3.8;999.2;0.7;1.7;W;1033.3;3.1;3.8;0.0;11.1;11.7;11.7;11.7;1;2
134;09-01-2015 04:27;30;44;19.0;92;4.5;999.3;1.7;3.4;NW;1033.4;3.3;4.5;0.0;11.1;11.7;11.7;11.7;2;3
135;09-01-2015 04:57;30;45;18.9;90;4.8;999.5;1.4;2.4;NNW;1033.6;3.3;4.8;0.0;11.1;11.7;11.7;11.7;1;2
136;09-01-2015 05:27;30;45;18.8;90;4.7;998.5;0.0;0.7;S;1032.6;3.2;4.7;0.0;11.1;11.7;11.7;11.7;0;1
137;09-01-2015 05:57;30;44;18.8;90;4.7;998.7;0.0;0.7;S;1032.8;3.2;4.7;0.0;11.1;11.7;11.7;11.7;0;1
138;09-01-2015 06:27;30;44;18.7;89;5.1;997.2;0.7;1.4;SWW;1031.3;3.4;5.1;0.0;10.8;11.7;11.7;11.7;1;1
139;09-01-2015 06:57;30;45;18.8;87;5.5;996.3;1.4;2.0;SW;1030.4;3.5;5.5;0.0;10.8;11.7;11.7;11.7;1;2
